HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:3066	DUSP11	dual specificity phosphatase 11	Approved	gene with protein product		PIR1	2p13.1	8446	ENSG00000144048	OTTHUMG00000129816	896	Atypical dual specificity phosphatases
HGNC:3067	DUSP12	dual specificity phosphatase 12	Approved	gene with protein product		YVH1, DUSP1	1q23.3	11266	ENSG00000081721	OTTHUMG00000034540	896	Atypical dual specificity phosphatases
HGNC:56772	DUSP13A	dual specificity phosphatase 13A	Approved	gene with protein product		MDSP, BEDP	10q22.2	128854680			896	Atypical dual specificity phosphatases
HGNC:19681	DUSP13B	dual specificity phosphatase 13B	Approved	gene with protein product	DUSP13	TMDP, SKRP4	10q22.2	51207	ENSG00000079393	OTTHUMG00000018516	896	Atypical dual specificity phosphatases
HGNC:17007	DUSP14	dual specificity phosphatase 14	Approved	gene with protein product		MKP-L, MKP6	17q12	11072	ENSG00000276023	OTTHUMG00000188472	896	Atypical dual specificity phosphatases
HGNC:16236	DUSP15	dual specificity phosphatase 15	Approved	gene with protein product	C20orf57	bA243J16.6, VHY, FLJ20645, bA243J16.5	20q11.21	128853	ENSG00000149599	OTTHUMG00000032182	896	Atypical dual specificity phosphatases
HGNC:18484	DUSP18	dual specificity phosphatase 18	Approved	gene with protein product		DUSP20	22q12.2	150290	ENSG00000167065	OTTHUMG00000151115	896	Atypical dual specificity phosphatases
HGNC:18894	DUSP19	dual specificity phosphatase 19	Approved	gene with protein product		SKRP1, DUSP17	2q32.1	142679	ENSG00000162999	OTTHUMG00000132622	896	Atypical dual specificity phosphatases
HGNC:20476	DUSP21	dual specificity phosphatase 21	Approved	gene with protein product			Xp11.3	63904	ENSG00000189037	OTTHUMG00000021401	896	Atypical dual specificity phosphatases
HGNC:16077	DUSP22	dual specificity phosphatase 22	Approved	gene with protein product		MKPX, JSP1, JKAP, VHX	6p25.3	56940	ENSG00000112679	OTTHUMG00000014113	896	Atypical dual specificity phosphatases
HGNC:21480	DUSP23	dual specificity phosphatase 23	Approved	gene with protein product		FLJ20442, DUSP25	1q23.2	54935	ENSG00000158716	OTTHUMG00000022795	896	Atypical dual specificity phosphatases
HGNC:28161	DUSP26	dual specificity phosphatase 26	Approved	gene with protein product		MGC1136, DUSP24, NEAP	8p12	78986	ENSG00000133878	OTTHUMG00000163961	896	Atypical dual specificity phosphatases
