STANDARD_NAME	HP_ABNORMALITY_OF_THE_PANCREAS
SYSTEMATIC_NAME	M35417
COLLECTION	C5:HPO
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP_ABNORMALITY_OF_THE_PANCREAS
NAMESPACE	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	Abnormality of the pancreas
DESCRIPTION_FULL	An abnormality of the pancreas. [HPO:probinson]
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Human Phenotype Ontology Group
CONTRIBUTOR_ORG	The Jackson Laboratory (JAX)
EXACT_SOURCE	HP:0001732
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://hpo.jax.org/app/browse/term/HP:0001732
SOURCE_MEMBERS	100147744,10111,10165,1019,101928376,1026,1027,10273,10277,1028,1029,1030,1031,10320,10507,105259599,10555,1056,10630,1080,1084,10984,11200,11231,11254,11330,115019,1175,1188,1230,129563,133686,134218,1356,1357,148738,149233,1493,1497,1629,169792,170302,171023,1736,182,1909,197131,199221,2130,2177,2184,2212,222546,2239,2263,22802,22827,22909,2294,23013,23019,23022,2313,2317,23193,23322,23387,23476,2538,2542,256297,2563,256646,25913,26007,26040,26060,26123,26160,26191,2627,26277,2642,2645,26580,27030,27031,27077,2719,2729,2767,2778,285282,2859,286053,2947,2956,29880,3077,3106,3113,3115,3155,3162,3172,3239,324,3339,337867,338328,344,3459,348,3481,355,3586,3592,3630,3643,3651,368,3767,3783,3784,3845,389692,3930,3975,4000,4023,4041,4072,4089,4157,4193,4210,4221,4255,4282,4286,4292,4361,4436,4485,4512,4513,4514,4535,4538,4540,4541,4558,4564,4567,4572,4574,4575,4578,4594,4609,4613,4680,4683,4722,473,4750,4760,4854,4869,4913,50485,5073,5078,50940,5095,5096,51119,51164,51259,5159,51651,5167,51726,51750,51752,5205,5244,5265,5290,5310,5311,5314,537,5378,5395,54386,5468,54894,54897,54903,54914,55112,55135,55315,55505,5557,55651,5573,5589,5590,5644,5645,5657,57096,57104,5728,57545,57570,57728,57817,580,5888,5889,5892,5915,593,594,595,6023,6224,63924,63929,63976,640,64218,64220,64788,6497,65057,65062,6550,6556,6559,6566,657,6690,672,6729,675,6774,6775,6794,6804,6833,6925,6927,6928,7012,7015,7018,7040,7048,7099,7157,72,720,7298,7351,7373,7388,7428,7468,7490,7528,7798,7840,79415,79577,79583,79600,79631,79650,79719,79728,79770,79796,79848,79867,80114,80169,80184,80776,8302,8314,83990,84314,846,8462,84701,8481,8510,8514,8565,8567,857,8647,875,9054,9056,91147,9401,9451,9652,9742,9894,9939,9971
GENE_SYMBOLS	RNU7-1,RAD50,SLC25A13,CDK4,IL12A-AS1,CDKN1A,CDKN1B,STUB1,UBE4B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,IKZF1,SEMA4D,,AGPAT2,CEL,PDPN,CFTR,CEACAM3,KCNQ1OT1,CHEK2,SEC63,SLC6A14,CTRC,SLC26A9,AP2S1,CLCNKB,CCR1,DIS3L2,NADK2,DNAJC21,CP,CPA1,HJV,IL23R,CTLA4,CTNS,DBT,GLIS3,ARX,ASXL1,DKC1,JAG1,EDNRA,UBR1,DZIP1L,EWSR1,FANCD2,FAH,FCGR2A,RFX6,GPC4,FGFR2,CLCA4,PUF60,FAN1,FOXF1,SPEN,CNOT1,PALLD,FLI1,FLNB,GANAB,RPGRIP1L,SIK3,BRD4,G6PC1,SLC37A4,PTF1A,GABRD,NUTM1,POT1,TKFC,SETBP1,APPL1,TCTN3,IFT172,PTPN22,GATA6,TINF2,GCGR,GCK,BSCL2,MLH3,NPHP3,B9D1,GPC3,GCLC,GNA11,GNAS,RABL3,GPR35,NSMCE2,GSTM3,MSH6,ALG5,HFE,HLA-B,HLA-DPA1,HLA-DPB1,HMGCL,HMOX1,HNF4A,HOXD13,APC,HSPG2,UBAC2,GPIHBP1,APOC2,IFNGR1,APOE,IGF2,FAS,IL10,IL12A,INS,INSR,PDX1,ABCC6,KCNJ11,KCNN4,KCNQ1,KRAS,MAFA,LBR,LHX1,LMNA,LPL,LRP5,EPCAM,SMAD4,MC1R,MDM2,MEFV,MEN1,MGMT,MIF,MITF,MLH1,MRE11,MSH2,MST1,MT-CO1,MT-CO2,MT-CO3,MT-ND1,MT-ND4,MT-ND5,MT-ND6,MT-TF,MT-TH,MT-TL1,MT-TQ,,MT-TS2,MT-TW,MMUT,MYC,MYCN,CEACAM6,NBN,NDUFS3,RERE,NEK1,NEUROD1,NOTCH3,NPM1,NTHL1,SMARCAL1,PARN,PAX4,PDE11A,PCCA,PCCB,SBDS,DCTN4,TMEM216,PDGFRB,PTRH2,ENPP1,DNAJB11,RTEL1,ERAP1,ATP8B1,ABCB4,SERPINA1,PIK3CA,PKD1,PKD2,PKHD1,ATP6AP1,PMS1,PMS2,TERF2IP,PPARG,RNF43,CASZ1,MKS1,FOCAD,DYNC2I1,WRAP53,SLC29A3,NOP10,PRIM1,NHP2,PRKAR1A,PRKCSH,PRKCZ,PRSS1,PRSS2,PRTN3,RPGRIP1,PNPLA2,PTEN,CC2D2A,TRMT5,WDR19,HAMP,BARD1,RAD51,RAD51C,RAD51D,RARB,BCKDHA,BCKDHB,CCND1,RMRP,RPS20,CIDEC,XPNPEP3,PRDM16,BLK,SEMA4A,STRA6,LMF1,SKI,ACD,TMEM237,SLC9A3,SLC11A1,SLC12A3,SLC16A1,BMPR1A,SPINK1,BRCA1,SRP54,BRCA2,STAT3,STAT4,STK11,STX1A,ABCC8,TCF4,HNF1A,HNF1B,TERC,TERT,TF,TGFB1,TGFBR2,TLR4,TP53,ACTG2,C4A,TYMS,UCP2,COL14A1,UQCRH,VHL,NSD2,WT1,YY1,LUZP1,ALMS1,CYBC1,CDC73,TMEM231,TCTN1,EFL1,USB1,AAGAB,PALB2,TXNDC15,ALG9,CSPP1,TCTN2,BICC1,CTC1,CEP290,B9D2,KLRC4,BAP1,BRIP1,TMEM107,CASR,KLF11,COX4I2,OFD1,MMP23B,KCNAB2,YARS1,MADD,CAV1,ABCB11,CBS,NFS1,SLC7A7,TMEM67,RECQL4,EIF2AK3,SKIC3,IFT140,TELO2,RBM8A,NR1H4
FOUNDER_NAMES	
