STANDARD_NAME	GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY
SYSTEMATIC_NAME	M11440
COLLECTION	C5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY
NAMESPACE	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	Any process that modulates the frequency, rate or extent of the activity of the Wnt signal transduction pathway. [GOC:dph, GOC:mah, GOC:tb]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0030111
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0030111
SOURCE_MEMBERS	1000,1001,100113407,100126315,10023,10042,100507050,10076,10146,10159,102723796,102724928,10297,10399,10413,10459,10856,10927,11063,11197,112401,115701,115908,120892,122011,1277,129293,130574,130612,139285,1432,144165,1452,145258,1453,1454,1455,1456,1457,147111,147495,147699,147906,1482,1499,1500,1501,151195,152573,153090,1540,1601,1613,164284,1649,1654,166,169200,1749,1896,1950,1956,1958,2010,205147,219287,219771,2247,2254,2255,2262,2263,22881,22943,2300,23072,2308,23189,23213,23240,23394,23399,2348,23499,23500,245973,2487,25,252839,25776,25805,25876,259266,25928,25937,25960,25987,261734,26524,26585,267,27031,27120,27121,27122,27123,27130,27185,2719,27303,2735,2737,2776,284654,2887,28999,2931,2932,29969,3065,30851,3087,3090,324,331,337867,340419,343637,348,3484,3485,3487,3489,351,3516,3611,3670,3675,3728,374946,3836,387914,388336,388630,4035,4038,406,406904,406937,406976,406980,407015,407024,407026,4088,414194,4163,4188,4192,4300,440193,441478,442911,4435,4772,4776,4790,4851,5071,50964,51176,51185,51339,51366,51473,51527,51701,51704,51741,5204,5218,527,5300,53944,54475,54764,54795,54894,54903,5494,54949,5495,54972,5499,54994,55031,5515,5518,55182,55366,55593,55612,55681,55716,55737,55789,55897,55959,56033,5663,56998,57326,574460,574503,5754,57560,57664,57674,57680,57805,5800,59343,59352,6206,6299,63923,63977,6422,6423,6424,6425,64321,64359,643965,6469,64750,6478,64897,6497,650,65062,65125,65268,6591,6597,65981,6657,6659,6662,6663,6714,6788,6789,6794,6907,6928,6934,7015,7040,7074,7088,7089,7090,7091,7097,7128,7162,7249,7320,7415,7473,7474,7480,7481,79577,79705,79718,79809,79816,79960,79971,80114,80139,80199,80319,80351,81029,81847,8312,8313,8321,8323,8324,8326,83439,83595,83786,83957,83999,84133,8418,84327,84328,8434,84445,84870,85407,85409,85458,85474,8549,857,8607,8613,8629,8658,8724,8796,8840,8932,8945,89780,8994,90268,9037,90410,9096,9101,9113,92162,9241,9350,9368,9580,9679,9686,9736,9839,9978
