STANDARD_NAME	PID_HIF1_TFPATHWAY
SYSTEMATIC_NAME	M255
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:PID
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PID_HIF1_TFPATHWAY
CHIP	Human_UniProt_ID
DESCRIPTION_BRIEF	HIF-1-alpha transcription factor network
DESCRIPTION_FULL	
PMID	18832364
GEOID	
AUTHORS	Schaefer CF,Anthony K,Krupa S,Buchoff J,Day M,Hannay T,Buetow KH
CONTRIBUTOR	Pathway Interaction Database
CONTRIBUTOR_ORG	NCI, NIH and Nature Publishing Group
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
GENESET_LISTING_URL	
MEMBERS	O14503,O14746,P00338,P00450,P00558,P01100,P01588,P02786,P02787,P04075,P05107,P05121,P05305,P05412,P06733,P06748,P08047,P08183,P08833,P09601,P09958,P11166,P14618,P14921,P15692,P16220,P17813,P17858,P19367,P21589,P22830,P23769,P27540,P31749,P35228,P35318,P35398,P35557,P36871,P41159,P41235,P48061,P52789,P61073,P84022,Q02363,Q07654,Q07820,Q09472,Q12983,Q13485,Q15596,Q15788,Q16665,Q16790,Q16875,Q8WUI4,Q92597,Q92793,Q92905,Q99541,Q99967,Q9C0J9,Q9GZT9,Q9H6Z9,Q9UNQ0
MAPPED_SYMBOLS	BHLHE40,TERT,LDHA,CP,PGK1,FOS,EPO,TFRC,TF,ALDOA,ITGB2,SERPINE1,EDN1,JUN,ENO1,NPM1,SP1,ABCB1,IGFBP1,HMOX1,FURIN,SLC2A1,PKM,ETS1,VEGFA,CREB1,ENG,PFKL,HK1,NT5E,FECH,GATA2,ARNT,AKT1,NOS2,ADM,RORA,GCK,PGM1,LEP,HNF4A,CXCL12,HK2,CXCR4,SMAD3,ID2,TFF3,MCL1,EP300,BNIP3,SMAD4,NCOA2,NCOA1,HIF1A,CA9,PFKFB3,HDAC7,NDRG1,CREBBP,COPS5,PLIN2,CITED2,BHLHE41,EGLN1,EGLN3,ABCG2
