STANDARD_NAME	GOBP_MESENCHYMAL_CELL_PROLIFERATION
SYSTEMATIC_NAME	M15086
CATEGORY_CODE	C5
SUB_CATEGORY_CODE	GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MESENCHYMAL_CELL_PROLIFERATION
CHIP	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	The multiplication or reproduction of cells, resulting in the expansion of a mesenchymal cell population. A mesenchymal cell is a cell that normally gives rise to other cells that are organized as three-dimensional masses, rather than sheets. [GOC:dph, GOC:tb]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0010463
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0010463
GENESET_LISTING_URL	
MEMBERS	10736,130497,1499,2249,2252,2254,2263,2294,2719,3549,3791,4000,4041,4487,4609,4781,5154,5396,54798,56998,6469,6474,6495,650,652,655,657,6608,6662,6772,6899,6909,6935,7048,7472,7474,7481,8642,8646,8660,9464,9678
MAPPED_SYMBOLS	SIX2,OSR1,CTNNB1,FGF4,FGF7,FGF9,FGFR2,FOXF1,GPC3,IHH,KDR,LMNA,LRP5,MSX1,MYC,NFIB,PDGFA,PRRX1,DCHS2,CTNNBIP1,SHH,SHOX2,SIX1,BMP2,BMP4,BMP7,BMPR1A,SMO,SOX9,STAT1,TBX1,TBX2,ZEB1,TGFBR2,WNT2,WNT5A,WNT11,DCHS1,CHRD,IRS2,HAND2,PHF14
