STANDARD_NAME	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
SYSTEMATIC_NAME	M973
COLLECTION	C2:CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
NAMESPACE	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Interferon alpha/beta signaling
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-909733
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://www.reactome.org/content/detail/R-HSA-909733
SOURCE_MEMBERS	ENSG00000068079,ENSG00000068745,ENSG00000089127,ENSG00000101347,ENSG00000105397,ENSG00000108424,ENSG00000111331,ENSG00000111335,ENSG00000111679,ENSG00000114030,ENSG00000115415,ENSG00000117595,ENSG00000119917,ENSG00000119922,ENSG00000120235,ENSG00000120242,ENSG00000120738,ENSG00000125347,ENSG00000126456,ENSG00000126709,ENSG00000128604,ENSG00000130303,ENSG00000132530,ENSG00000134321,ENSG00000135114,ENSG00000135828,ENSG00000137080,ENSG00000137265,ENSG00000137403,ENSG00000140968,ENSG00000142089,ENSG00000142166,ENSG00000147873,ENSG00000147885,ENSG00000152778,ENSG00000157601,ENSG00000159110,ENSG00000160710,ENSG00000162434,ENSG00000162645,ENSG00000164163,ENSG00000165949,ENSG00000168310,ENSG00000170581,ENSG00000171855,ENSG00000172183,ENSG00000179295,ENSG00000183486,ENSG00000184557,ENSG00000184979,ENSG00000185201,ENSG00000185338,ENSG00000185507,ENSG00000185745,ENSG00000185885,ENSG00000186803,ENSG00000187608,ENSG00000188379,ENSG00000196396,ENSG00000197919,ENSG00000204264,ENSG00000204525,ENSG00000204592,ENSG00000204632,ENSG00000204642,ENSG00000206298,ENSG00000206341,ENSG00000206450,ENSG00000206493,ENSG00000206503,ENSG00000206505,ENSG00000206506,ENSG00000206509,ENSG00000213928,ENSG00000214042,ENSG00000223532,ENSG00000223980,ENSG00000224608,ENSG00000225201,ENSG00000225691,ENSG00000226201,ENSG00000228083,ENSG00000228299,ENSG00000228964,ENSG00000229252,ENSG00000229698,ENSG00000230034,ENSG00000230254,ENSG00000230413,ENSG00000230669,ENSG00000231631,ENSG00000231834,ENSG00000232126,ENSG00000233095,ENSG00000233816,ENSG00000233904,ENSG00000234745,ENSG00000234829,ENSG00000235220,ENSG00000235346,ENSG00000235657,ENSG00000235680,ENSG00000235715,ENSG00000236443,ENSG00000236632,ENSG00000236637,ENSG00000237022,ENSG00000237216,ENSG00000237508,ENSG00000275214,ENSG00000276051,ENSG00000276561,ENSG00000285048
GENE_SYMBOLS	IFI35,IP6K2,OAS1,SAMHD1,TYK2,KPNB1,OAS3,OAS2,PTPN6,KPNA1,STAT1,IRF6,IFIT3,IFIT2,IFNA6,IFNA8,EGR1,IRF1,IRF3,IFI6,IRF5,BST2,XAF1,RSAD2,OASL,RNASEL,IFNA21,IRF4,HLA-F,IRF8,IFITM3,IFNAR1,IFNA5,IFNA16,IFIT5,MX1,IFNAR2,ADAR,JAK1,GBP2,ABCE1,IFI27,IRF2,STAT2,IFNB1,ISG20,PTPN11,MX2,SOCS3,USP18,IFITM2,SOCS1,IRF7,IFIT1,IFITM1,IFNA10,ISG15,IFNA2,PTPN1,IFNA1,PSMB8,HLA-C,HLA-E,HLA-G,HLA-F,PSMB8,HLA-H,HLA-B,HLA-E,HLA-A,HLA-A,HLA-G,HLA-F,IRF9,IFNA7,HLA-B,HLA-A,HLA-B,HLA-E,HLA-C,PSMB8,IFNA14,HLA-C,HLA-B,HLA-E,HLA-F,PSMB8,HLA-E,HLA-G,PSMB8,PSMB8,HLA-A,HLA-B,HLA-G,IFNA13,HLA-E,HLA-B,IFNA17,HLA-F,HLA-G,HLA-A,HLA-G,PSMB8,PSMB8,HLA-E,IFNA4,HLA-C,HLA-G,HLA-F,IFI27,HLA-G,IRF7,IRF9
FOUNDER_NAMES	
