STANDARD_NAME	FISCHER_G1_S_CELL_CYCLE
SYSTEMATIC_NAME	M107
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CGP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/FISCHER_G1_S_CELL_CYCLE
CHIP	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Cell cycle genes with peak expression in G1/S check point.
DESCRIPTION_FULL	Cell cycle genes with a CC Expression Score <= -2 (identified in at least 2 genome-wide cell cycle gene expression profiles with peak expression in G1/S)
PMID	27280975
GEOID	
AUTHORS	Fischer M,Grossmann P,Padi M,DeCaprio JA
CONTRIBUTOR	Martin Fischer
CONTRIBUTOR_ORG	Dana-Farber Cancer Institute
EXACT_SOURCE	Table S6
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
GENESET_LISTING_URL	
MEMBERS	ABCA5,ABHD10,ABHD4,ACYP1,ADAMTS1,ADCK2,ADCY6,AHI1,AKAP5,AMIGO2,ANK3,ANKRA2,AP3M2,ARGLU1,ARID5B,ARL6IP6,ASPH,ATAD2,BARD1,BBX,BLM,BRCA1,BRIP1,C1GALT1,C8orf4,CASP2,CASP8AP2,CCND3,CCNE1,CCNE2,CDC25A,CDC6,CDC7,CDCA7,CDH10,CDH24,CDT1,CENPQ,CHAF1A,CHAF1B,CHEK1,CLSPN,CNNM3,COL4A4,CTGF,CTPS1,CYR61,DCLRE1A,DCLRE1B,DLGAP1,DNAJC3,DNAJC6,DSCC1,DTL,DUSP10,E2F1,E2F2,E2F7,E2F8,EAF2,EXO1,EZH2,FAM111B,FANCE,FANCG,FEN1,FOSB,FST,GCLC,GINS2,GK,GLCCI1,GMNN,HELLS,HIST1H2AC,HIST1H2AD,HIST1H2AG,HIST1H2AH,HIST1H2AM,HIST1H2BC,HIST1H2BD,HIST1H2BL,HIST1H3B,HIST1H4B,HIST1H4D,HIST1H4E,HIST1H4H,HIST2H2AB,HIST2H2AC,HIST2H2BE,HIST3H2A,HSPB8,ICMT,IGF1R,INSIG2,INSR,IVNS1ABP,JUND,KLF5,KLRK1,LCMT2,LIPH,MAGEL2,MAN1A2,MAP2K6,MASTL,MATN1,MBNL2,MCM10,MCM2,MCM3,MCM5,MCM6,MDM1,MITF,MNS1,MNT,MNX1,MRC2,MSH2,MSH5-SAPCD1,MSH6,MYB,NASP,NCOA7,NEDD9,NPAT,NR4A3,NUDT7,OGT,OPCML,OSBPL6,OSGIN2,PANK2,PAQR4,PASK,PCNA,PEX11B,PEX13,PLCXD1,PLSCR4,POLA2,POLD3,POLE,POLE2,PRIM1,PRKD1,PTGS2,RABIF,RAD51,RBBP8,RECQL4,REEP1,RFC2,RFC4,RFXAP,RGS7,RIMKLB,RMI1,RNPC3,RPA2,RRM2,SLBP,SLC25A27,SLC38A2,SMPD1,SP1,SPIN3,SSBP2,SVIP,TAF15,TCF19,TENM3,TIFA,TIPIN,TLR3,TLR6,TMCC1,TMEM243,TNS2,TOPBP1,TP53INP1,TREX1,TRIM45,TTLL7,TXNRD1,UBR7,UNG,USP1,USP18,USP37,USP53,WBP5,WDHD1,WDR76,YEATS4,ZBTB14,ZMYND19,ZNF367,ZRANB2
MAPPED_SYMBOLS	ABCA5,ABHD10,ABHD4,ACYP1,ADAMTS1,ADCK2,ADCY6,AHI1,AKAP5,AMIGO2,ANK3,ANKRA2,AP3M2,ARGLU1,ARID5B,ARL6IP6,ASPH,ATAD2,BARD1,BBX,BLM,BRCA1,BRIP1,C1GALT1,TCIM,CASP2,CASP8AP2,CCND3,CCNE1,CCNE2,CDC25A,CDC6,CDC7,CDCA7,CDH10,CDH24,CDT1,CENPQ,CHAF1A,CHAF1B,CHEK1,CLSPN,CNNM3,COL4A4,CCN2,CTPS1,CCN1,DCLRE1A,DCLRE1B,DLGAP1,DNAJC3,DNAJC6,DSCC1,DTL,DUSP10,E2F1,E2F2,E2F7,E2F8,EAF2,EXO1,EZH2,FAM111B,FANCE,FANCG,FEN1,FOSB,FST,GCLC,GINS2,GK,GLCCI1,GMNN,HELLS,H2AC6,H2AC7,H2AC11,H2AC12,H2AC17,H2BC4,H2BC5,H2BC13,H3C2,H4C2,H4C4,H4C5,H4C8,H2AC21,H2AC20,H2BC21,H2AW,HSPB8,ICMT,IGF1R,INSIG2,INSR,IVNS1ABP,JUND,KLF5,KLRK1,LCMT2,LIPH,MAGEL2,MAN1A2,MAP2K6,MASTL,MATN1,MBNL2,MCM10,MCM2,MCM3,MCM5,MCM6,MDM1,MITF,MNS1,MNT,MNX1,MRC2,MSH2,MSH5-SAPCD1,MSH6,MYB,NASP,NCOA7,NEDD9,NPAT,NR4A3,NUDT7,OGT,OPCML,OSBPL6,OSGIN2,PANK2,PAQR4,PASK,PCNA,PEX11B,PEX13,PLCXD1,PLSCR4,POLA2,POLD3,POLE,POLE2,PRIM1,PRKD1,PTGS2,RABIF,RAD51,RBBP8,RECQL4,REEP1,RFC2,RFC4,RFXAP,RGS7,RIMKLB,RMI1,RNPC3,RPA2,RRM2,SLBP,SLC25A27,SLC38A2,SMPD1,SP1,SPIN3,SSBP2,SVIP,TAF15,TCF19,TENM3,TIFA,TIPIN,TLR3,TLR6,TMCC1,TMEM243,TNS2,TOPBP1,TP53INP1,TREX1,TRIM45,TTLL7,TXNRD1,UBR7,UNG,USP1,USP18,USP37,USP53,TCEAL9,WDHD1,WDR76,YEATS4,ZBTB14,ZMYND19,ZNF367,ZRANB2
