STANDARD_NAME	HP_ABNORMAL_PANCREAS_MORPHOLOGY
SYSTEMATIC_NAME	M38004
COLLECTION	C5:HPO
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HP_ABNORMAL_PANCREAS_MORPHOLOGY
NAMESPACE	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	Abnormal pancreas morphology
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Human Phenotype Ontology Group
CONTRIBUTOR_ORG	The Jackson Laboratory (JAX)
EXACT_SOURCE	HP:0012090
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://hpo.jax.org/app/browse/term/HP:0012090
SOURCE_MEMBERS	10277,1028,105259599,1056,10630,1080,10984,11330,129563,134218,1356,1357,169792,171023,199221,2177,222546,2294,23013,23019,2313,2317,23193,23322,23387,2542,256297,2563,26040,26060,26123,2627,2645,27031,27077,29880,3172,3339,3481,3630,3651,368,3767,3784,3975,4613,473,4750,4760,5078,51119,51259,51651,5167,51726,5310,5311,5314,54897,54903,54914,55112,55315,5590,5644,5645,57096,57545,57728,5915,595,63929,63976,640,64220,6497,65062,6690,6729,6774,6833,6927,6928,7428,7798,79583,79600,79631,79770,79796,79848,79867,80114,80184,80776,84314,846,8462,8481,8510,8514,91147,9401,9742,9894,9939
GENE_SYMBOLS	UBE4B,CDKN1C,,CEL,PDPN,CFTR,KCNQ1OT1,CTRC,DIS3L2,DNAJC21,CP,CPA1,GLIS3,ASXL1,DZIP1L,FANCD2,RFX6,FOXF1,SPEN,CNOT1,FLI1,FLNB,GANAB,RPGRIP1L,SIK3,SLC37A4,PTF1A,GABRD,SETBP1,APPL1,TCTN3,GATA6,GCK,NPHP3,B9D1,ALG5,HNF4A,HSPG2,IGF2,INS,PDX1,ABCC6,KCNJ11,KCNQ1,LHX1,MYCN,RERE,NEK1,NEUROD1,PAX4,SBDS,TMEM216,PTRH2,ENPP1,DNAJB11,PKD1,PKD2,PKHD1,CASZ1,MKS1,FOCAD,DYNC2I1,SLC29A3,PRKCZ,PRSS1,PRSS2,RPGRIP1,CC2D2A,WDR19,RARB,CCND1,XPNPEP3,PRDM16,BLK,STRA6,SKI,TMEM237,SPINK1,SRP54,STAT3,ABCC8,HNF1A,HNF1B,VHL,LUZP1,TMEM231,TCTN1,EFL1,TXNDC15,ALG9,CSPP1,TCTN2,BICC1,CEP290,B9D2,TMEM107,CASR,KLF11,OFD1,MMP23B,KCNAB2,TMEM67,RECQL4,IFT140,TELO2,RBM8A
FOUNDER_NAMES	
